States/UTs,Rice,Wheat,Atta,Gram Dal,Tur Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk,Groundnut Oil,Mustard Oil,Vanaspati,Soya Oil,Sunflower Oil,Palm Oil,Gur,Tea Loose,Salt,Potato,Onion,Tomato,Date,price_type
Minimum Price,18.0,16.0,15.5,53.0,70.0,72.0,72.0,64.5,32.0,30.0,150.0,124.5,98.0,110.0,126.2,85.0,31.0,120.0,6.4,8.0,9.1,9.0,2022-09-13,wholesale
Modal Price,28.0,34.0,30.0,62.0,110.0,92.5,90.0,90.0,38.0,50.0,180.0,160.0,150.0,140.0,180.0,120.0,42.0,280.0,10.0,18.0,18.0,40.0,2022-09-13,wholesale
Average Price,33.571999999999996,27.480100000000004,30.7555,65.24680000000001,102.1276,97.6469,92.2165,87.319,39.0602,50.2875,178.407,162.7803,138.7212,142.8571,163.07479999999998,115.98549999999999,44.4887,247.16279999999998,17.1323,22.1686,20.0777,32.2945,2022-09-14,wholesale
Maximum Price,55.0,40.0,62.0,105.0,122.0,130.0,119.5,117.0,46.0,74.0,236.0,210.0,200.0,189.0,215.0,176.0,90.0,519.34,26.5,40.0,45.0,60.0,2022-09-14,wholesale
Minimum Price,18.0,16.0,15.5,53.0,70.0,70.0,72.5,64.5,32.0,30.0,150.0,129.51,98.0,110.0,130.0,85.0,31.0,120.0,6.4,8.0,9.1,10.0,2022-09-14,wholesale
Modal Price,30.0,34.0,30.0,62.0,110.0,95.0,90.0,87.5,38.0,50.0,180.0,160.0,150.0,140.0,180.0,120.0,42.0,280.0,17.0,18.0,18.0,40.0,2022-09-14,wholesale
Average Price,33.7806,27.4427,30.8438,65.3628,102.26610000000001,98.05709999999999,92.6626,87.3058,39.045700000000004,50.56100000000001,177.8556,162.0823,138.02110000000002,142.4045,163.26069999999999,115.2289,44.6818,245.1016,17.0268,22.3211,20.031,33.1278,2022-09-15,wholesale
Maximum Price,55.0,40.0,62.0,110.0,122.0,130.0,119.5,117.0,46.0,74.0,240.0,211.0,200.0,189.0,215.0,176.0,90.0,519.34,26.5,45.0,45.0,60.0,2022-09-15,wholesale
Minimum Price,18.0,16.0,15.5,53.0,70.0,72.0,72.5,64.5,32.0,30.0,150.0,130.51,95.0,110.0,130.0,85.0,31.0,120.0,6.4,8.0,10.0,12.0,2022-09-15,wholesale
Modal Price,28.0,29.5,30.0,65.0,100.0,95.0,90.0,80.0,38.0,50.0,180.0,160.0,150.0,140.0,180.0,120.0,42.0,280.0,10.0,18.0,17.0,40.0,2022-09-15,wholesale
Average Price,33.5654,27.395300000000002,30.8854,65.1574,101.89620000000001,97.4592,92.5776,87.0044,39.0945,50.5009,178.25779999999997,161.571,137.92430000000002,141.9926,163.106,115.5084,44.6176,248.7703,17.2206,22.042600000000004,19.9567,33.5283,2022-09-16,wholesale
Maximum Price,55.0,40.0,62.0,110.0,122.0,130.0,119.5,117.0,46.0,74.0,240.0,211.0,200.0,190.0,215.0,176.0,90.0,519.34,26.5,45.0,45.0,70.0,2022-09-16,wholesale
Minimum Price,18.0,16.0,15.5,53.0,70.0,70.0,72.5,64.5,32.0,30.0,150.0,130.5,95.0,110.0,130.0,85.0,31.0,120.0,6.4,8.0,10.0,12.0,2022-09-16,wholesale
Modal Price,31.0,34.0,30.0,62.0,110.0,95.0,90.0,85.0,38.0,50.0,180.0,160.0,130.0,130.0,180.0,120.0,42.0,280.0,10.0,18.0,18.0,40.0,2022-09-16,wholesale
Average Price,33.4196,27.1067,30.6649,64.5342,101.6317,97.2911,92.1159,86.6108,39.0583,49.9502,177.99110000000002,161.3058,136.7251,141.69979999999998,162.6394,115.47229999999999,44.075,250.403,17.2224,21.906,19.2419,33.5775,2022-09-17,wholesale
Maximum Price,55.0,40.0,62.0,110.0,122.0,123.0,119.5,117.0,46.0,74.0,240.0,211.0,200.0,189.0,215.0,176.0,90.0,519.34,26.5,40.0,40.0,70.0,2022-09-17,wholesale
Minimum Price,18.0,16.0,21.0,53.0,70.0,70.0,72.5,64.5,32.0,30.0,140.0,133.0,95.0,110.0,130.0,85.7,31.0,120.0,6.38,8.0,10.0,12.0,2022-09-17,wholesale
Modal Price,32.0,34.0,30.0,63.5,100.0,95.0,90.0,80.0,38.0,50.0,180.0,160.0,150.0,130.0,180.0,120.0,42.0,240.0,10.0,18.0,16.0,40.0,2022-09-17,wholesale
Average Price,33.3393,26.5363,30.0653,63.731700000000004,100.9764,95.9929,90.85600000000001,85.3675,38.7061,49.199,177.482,161.0004,132.9359,141.16219999999998,161.97469999999998,115.4716,42.8851,250.36900000000003,17.700699999999998,20.529,18.6324,32.6162,2022-09-18,wholesale
Maximum Price,54.0,38.0,55.0,110.0,122.0,123.0,119.5,115.0,45.0,74.0,240.0,210.0,181.32,189.0,210.0,176.0,90.0,500.0,26.5,38.0,35.0,60.0,2022-09-18,wholesale
Minimum Price,18.5,16.0,21.0,53.0,70.0,70.0,72.5,64.5,32.0,30.0,140.0,130.0,95.0,110.0,130.0,85.7,31.0,120.0,6.38,8.0,10.0,12.0,2022-09-18,wholesale
Modal Price,30.0,25.0,30.0,62.0,102.5,95.0,90.0,80.0,38.0,50.0,180.0,160.0,146.0,130.0,180.0,120.0,42.0,280.0,20.5,16.5,16.0,40.0,2022-09-18,wholesale
Average Price,33.4222,27.285999999999998,30.7348,64.82770000000001,101.7834,97.0808,92.26979999999999,86.47200000000001,39.1721,50.6068,177.34830000000002,161.0223,137.1119,141.2811,161.9019,115.4377,44.5,248.2406,17.319000000000003,21.7815,19.9062,33.9382,2022-09-19,wholesale
Maximum Price,55.0,40.0,62.0,105.0,122.0,130.0,119.5,117.0,46.0,74.0,240.0,211.0,200.0,190.0,215.0,176.0,90.0,519.34,26.5,45.0,45.0,65.0,2022-09-19,wholesale
Minimum Price,18.0,16.0,15.5,53.0,70.0,70.0,72.5,64.5,32.0,30.0,140.0,130.0,95.0,110.0,130.0,85.0,31.0,120.0,6.38,8.0,10.0,12.0,2022-09-19,wholesale
Modal Price,31.0,27.333299999999998,30.0,62.0,100.0,95.0,90.0,87.5,38.0,50.0,180.0,160.0,130.0,130.0,180.0,120.0,42.0,280.0,15.0,16.0,16.0,40.0,2022-09-19,wholesale
Average Price,33.4253,27.2767,30.6357,64.75189999999999,101.8353,97.14120000000001,92.20290000000001,86.5342,39.127399999999994,50.5822,177.31830000000002,161.2322,137.345,141.5037,161.28969999999998,115.10870000000001,44.21770000000001,247.6607,17.2589,21.6015,19.854300000000002,34.3348,2022-09-20,wholesale
Maximum Price,55.0,40.0,62.0,105.0,122.0,130.0,115.0,117.0,47.0,74.0,240.0,211.0,200.0,182.0,215.0,176.0,90.0,519.34,27.0,40.0,45.0,70.0,2022-09-20,wholesale
Minimum Price,18.0,16.0,15.5,53.0,70.0,70.0,72.5,64.5,32.0,30.0,140.0,124.5,95.0,110.0,126.2,85.0,31.0,120.0,6.38,8.0,10.0,11.0,2022-09-20,wholesale
Modal Price,32.0,24.0,30.0,62.0,105.0,90.0,90.0,85.0,38.0,50.0,180.0,160.0,150.0,130.0,160.0,120.0,42.0,280.0,21.0,16.0,16.0,40.0,2022-09-20,wholesale
Average Price,32.8722,27.0095,30.8138,64.3695,101.93719999999999,96.7147,92.0264,86.0405,39.234,51.1479,176.895,160.90040000000002,135.97809999999998,140.6691,162.5859,115.76899999999999,44.4098,250.00509999999997,17.831400000000002,21.4952,19.911099999999998,34.297,2022-09-21,wholesale
Maximum Price,54.0,38.0,62.0,98.0,122.0,130.0,115.0,117.0,47.0,74.0,240.0,211.0,200.0,190.0,215.0,165.0,90.0,519.34,27.0,45.0,45.0,70.0,2022-09-21,wholesale
